图像名称,标记点数量,是否有ABC点,A点X,A点Y,B点X,B点Y,C点X,C点Y
frame_000000.jpg,5,True,588.2791137695312,208.137451171875,375.7506103515625,154.85874938964844,525.0203247070312,132.80322265625
frame_000005.jpg,5,True,598.5706176757812,214.78831481933594,389.8155822753906,155.16697692871094,538.3120727539062,138.040771484375
frame_000010.jpg,5,True,615.260986328125,227.80770874023438,408.7482604980469,159.68287658691406,558.4451293945312,148.57305908203125
frame_000021.jpg,5,True,545.7015380859375,180.37620544433594,331.9239807128906,147.194091796875,475.47857666015625,112.22630310058594
frame_000022.jpg,5,True,543.205322265625,179.67132568359375,326.87359619140625,147.06874084472656,471.6996765136719,111.44621276855469
frame_000024.jpg,5,True,490.04638671875,153.0012664794922,276.738525390625,148.11473083496094,413.244873046875,95.48516845703125
frame_000025.jpg,5,True,476.84124755859375,148.01889038085938,262.50006103515625,150.22178649902344,397.7349853515625,92.69920349121094
frame_000026.jpg,5,True,455.49420166015625,139.95858764648438,244.50938415527344,150.58181762695312,375.1718444824219,88.63423919677734
frame_000027.jpg,5,True,436.50445556640625,135.01577758789062,222.93331909179688,155.1236114501953,352.6143798828125,86.98367309570312
frame_000028.jpg,5,True,410.6626892089844,128.3777313232422,200.2149200439453,160.95913696289062,325.0952453613281,85.54475402832031
frame_000030.jpg,5,True,387.65057373046875,124.02265930175781,179.6282501220703,167.38375854492188,299.9043884277344,85.7050552368164
frame_000032.jpg,5,True,376.4498291015625,122.01131439208984,174.30072021484375,172.08905029296875,290.82672119140625,86.08428955078125
frame_000033.jpg,5,True,367.4728698730469,120.89090728759766,166.05062866210938,175.16539001464844,280.9360656738281,86.64415740966797
frame_000034.jpg,5,True,348.8614807128906,119.775146484375,145.74539184570312,183.9250946044922,258.6424865722656,89.3407974243164
frame_000035.jpg,5,True,331.5498352050781,118.70047760009766,130.0180206298828,189.1261749267578,239.88975524902344,91.34358215332031
frame_000038.jpg,5,True,282.63873291015625,119.14894104003906,87.63089752197266,209.5264434814453,187.36160278320312,101.65225219726562
frame_000039.jpg,5,True,273.2712097167969,120.04620361328125,80.75616455078125,216.09689331054688,177.74388122558594,104.83052062988281
frame_000044.jpg,5,True,241.49632263183594,124.00650024414062,57.5825309753418,234.76512145996094,145.8770751953125,115.35149383544922
frame_000045.jpg,5,True,233.73582458496094,125.22470092773438,50.83256912231445,239.3746337890625,137.62586975097656,118.27152252197266
frame_000046.jpg,5,True,221.2989501953125,127.85568237304688,40.11241149902344,248.25091552734375,124.6556396484375,123.6497802734375
frame_000047.jpg,5,True,208.097412109375,130.27969360351562,31.019155502319336,253.76832580566406,111.25180053710938,128.74183654785156
frame_000048.jpg,5,True,214.36744689941406,128.95033264160156,37.10285949707031,249.1690216064453,117.86963653564453,125.99732208251953
frame_000049.jpg,5,True,230.44798278808594,125.978271484375,47.18317794799805,241.07717895507812,133.19285583496094,119.92708587646484
frame_000050.jpg,5,True,259.6213684082031,125.80766296386719,64.69479370117188,237.47384643554688,159.75929260253906,115.70404815673828
frame_000051.jpg,5,True,264.22216796875,129.39743041992188,63.10818862915039,242.2881622314453,161.45281982421875,119.18917846679688
frame_000052.jpg,5,True,259.7333984375,135.5661163330078,53.72552490234375,250.25344848632812,153.35972595214844,126.14718627929688
frame_000053.jpg,5,True,251.98690795898438,139.62335205078125,46.846736907958984,255.02227783203125,235.16688537597656,245.36288452148438
frame_000054.jpg,5,True,264.4049072265625,133.65032958984375,59.81517791748047,245.0526123046875,158.73297119140625,123.3246841430664
frame_000055.jpg,5,True,279.0141906738281,128.04019165039062,74.88627624511719,232.11923217773438,176.39378356933594,114.2154769897461
frame_000058.jpg,5,True,338.9871826171875,119.87469482421875,135.81845092773438,190.1666259765625,246.45242309570312,91.92668914794922
frame_000089.jpg,6,True,373.364501953125,123.75592041015625,190.88201904296875,361.1982727050781,280.7004699707031,87.53779602050781
frame_000154.jpg,3,True,265.8185119628906,209.69493103027344,104.45816802978516,193.931396484375,236.1002960205078,278.8203430175781
frame_000155.jpg,6,True,281.0231628417969,119.75303649902344,139.36419677734375,362.02569580078125,189.57643127441406,102.48971557617188
